@ATTRIBUTE "buoy" { 1.0_12.0,14.0_32.0,34.0_49.0,50.0_58.0 }
@ATTRIBUTE "day" { 1,10,11,12,13,14,2,3,4,5,6,7,8,9 }
@ATTRIBUTE "latitude" { -2.02_0.0,-8.28_-2.03,0.01_4.97,4.98_8.97 }
@ATTRIBUTE "longitude" { -124.38_147.0,-140.34_-124.39,-179.87_-154.93,147.01_179.8 }
@ATTRIBUTE "zon-winds" { -2.8_7.0,-4.1_-2.9,-5.4_-4.2,-8.5_-5.5 }
@ATTRIBUTE "mer-winds" { -0.7_1.1,-2.4_-0.8,-6.4_-2.5,1.2_7.1 }
@ATTRIBUTE "humidity" { 71.5_81.3,81.4_84.1,84.2_87.5,87.6_99.4 }
@ATTRIBUTE "air-temp" { 22.72_26.95,26.97_27.89,27.91_28.44,28.45_30.04 }
@ATTRIBUTE "s-s-temp" { 22.44_27.62,27.63_28.71,28.72_29.33,29.34_30.34 }
@DATA
14.0_32.0,2,-2.02_0.0,-124.38_147.0,-2.8_7.0,1.2_7.1,87.6_99.4,22.72_26.95,22.44_27.62
14.0_32.0,3,-2.02_0.0,-124.38_147.0,-2.8_7.0,1.2_7.1,87.6_99.4,22.72_26.95,22.44_27.62
14.0_32.0,4,-2.02_0.0,-124.38_147.0,-2.8_7.0,-0.7_1.1,87.6_99.4,22.72_26.95,22.44_27.62
14.0_32.0,5,-2.02_0.0,-124.38_147.0,-4.1_-2.9,1.2_7.1,87.6_99.4,22.72_26.95,22.44_27.62
14.0_32.0,6,-2.02_0.0,-124.38_147.0,-5.4_-4.2,-0.7_1.1,87.6_99.4,22.72_26.95,22.44_27.62
14.0_32.0,7,-2.02_0.0,-124.38_147.0,-5.4_-4.2,-0.7_1.1,84.2_87.5,22.72_26.95,22.44_27.62
14.0_32.0,8,-2.02_0.0,-124.38_147.0,-5.4_-4.2,-0.7_1.1,87.6_99.4,22.72_26.95,22.44_27.62
14.0_32.0,9,-2.02_0.0,-124.38_147.0,-4.1_-2.9,-0.7_1.1,87.6_99.4,22.72_26.95,22.44_27.62
14.0_32.0,10,-2.02_0.0,-124.38_147.0,-4.1_-2.9,-0.7_1.1,87.6_99.4,22.72_26.95,22.44_27.62
14.0_32.0,11,-2.02_0.0,-124.38_147.0,-4.1_-2.9,-0.7_1.1,87.6_99.4,22.72_26.95,22.44_27.62
14.0_32.0,12,-2.02_0.0,-124.38_147.0,-2.8_7.0,-0.7_1.1,87.6_99.4,22.72_26.95,22.44_27.62
14.0_32.0,13,-2.02_0.0,-124.38_147.0,-4.1_-2.9,-0.7_1.1,84.2_87.5
14.0_32.0,1,-8.28_-2.03,-124.38_147.0,-8.5_-5.5,1.2_7.1,84.2_87.5,26.97_27.89,22.44_27.62
14.0_32.0,2,-8.28_-2.03,-124.38_147.0,-8.5_-5.5,1.2_7.1,81.4_84.1,26.97_27.89,22.44_27.62
14.0_32.0,3,-8.28_-2.03,-124.38_147.0,-5.4_-4.2,1.2_7.1,71.5_81.3,26.97_27.89,22.44_27.62
14.0_32.0,4,-8.28_-2.03,-124.38_147.0,-2.8_7.0,1.2_7.1,71.5_81.3,22.72_26.95,22.44_27.62
14.0_32.0,5,-8.28_-2.03,-124.38_147.0,-5.4_-4.2,1.2_7.1,71.5_81.3,22.72_26.95,22.44_27.62
14.0_32.0,6,-8.28_-2.03,-124.38_147.0,-5.4_-4.2,-2.4_-0.8,81.4_84.1,22.72_26.95,22.44_27.62
14.0_32.0,7,-8.28_-2.03,-124.38_147.0,-5.4_-4.2,-0.7_1.1,81.4_84.1,22.72_26.95,22.44_27.62
14.0_32.0,8,-8.28_-2.03,-124.38_147.0,-5.4_-4.2,-0.7_1.1,84.2_87.5,22.72_26.95,22.44_27.62
14.0_32.0,9,-8.28_-2.03,-124.38_147.0,-5.4_-4.2,-2.4_-0.8,84.2_87.5,22.72_26.95,22.44_27.62
14.0_32.0,10,-8.28_-2.03,-124.38_147.0,-5.4_-4.2,-2.4_-0.8,84.2_87.5,22.72_26.95,22.44_27.62
14.0_32.0,11,-8.28_-2.03,-124.38_147.0,-5.4_-4.2,-0.7_1.1,81.4_84.1,22.72_26.95,22.44_27.62
14.0_32.0,12,-8.28_-2.03,-124.38_147.0,-4.1_-2.9,-2.4_-0.8,87.6_99.4,22.72_26.95,22.44_27.62
14.0_32.0,13,-8.28_-2.03,-124.38_147.0,-5.4_-4.2,1.2_7.1,84.2_87.5,22.72_26.95,22.44_27.62
14.0_32.0,1,4.98_8.97,-124.38_147.0,-2.8_7.0,1.2_7.1,84.2_87.5,28.45_30.04
14.0_32.0,2,4.98_8.97,-124.38_147.0,-2.8_7.0,-0.7_1.1,81.4_84.1,28.45_30.04
14.0_32.0,3,4.98_8.97,-124.38_147.0,-2.8_7.0,-0.7_1.1,84.2_87.5,28.45_30.04
14.0_32.0,4,4.98_8.97,-124.38_147.0,-2.8_7.0,1.2_7.1,84.2_87.5,28.45_30.04
14.0_32.0,5,4.98_8.97,-124.38_147.0,-2.8_7.0,1.2_7.1,81.4_84.1,28.45_30.04
14.0_32.0,6,4.98_8.97,-124.38_147.0,-2.8_7.0,1.2_7.1,84.2_87.5,28.45_30.04
14.0_32.0,7,4.98_8.97,-124.38_147.0,-2.8_7.0,-0.7_1.1,81.4_84.1,28.45_30.04
14.0_32.0,8,4.98_8.97,-124.38_147.0,-2.8_7.0,-0.7_1.1,81.4_84.1,28.45_30.04
14.0_32.0,9,4.98_8.97,-124.38_147.0,-2.8_7.0,1.2_7.1,81.4_84.1,28.45_30.04
14.0_32.0,10,4.98_8.97,-124.38_147.0,-2.8_7.0,-0.7_1.1,84.2_87.5,28.45_30.04
14.0_32.0,11,4.98_8.97,-124.38_147.0,-2.8_7.0,-2.4_-0.8,71.5_81.3,28.45_30.04
14.0_32.0,12,4.98_8.97,-124.38_147.0,-2.8_7.0,-2.4_-0.8,84.2_87.5,28.45_30.04
14.0_32.0,13,4.98_8.97,-124.38_147.0,-2.8_7.0,1.2_7.1,87.6_99.4,26.97_27.89
14.0_32.0,1,0.01_4.97,-124.38_147.0,-4.1_-2.9,1.2_7.1,81.4_84.1,27.91_28.44,28.72_29.33
14.0_32.0,2,0.01_4.97,-124.38_147.0,-2.8_7.0,1.2_7.1,81.4_84.1,26.97_27.89,28.72_29.33
14.0_32.0,3,0.01_4.97,-124.38_147.0,-2.8_7.0,1.2_7.1,81.4_84.1,26.97_27.89,28.72_29.33
14.0_32.0,4,0.01_4.97,-124.38_147.0,-2.8_7.0,1.2_7.1,81.4_84.1,26.97_27.89,28.72_29.33
14.0_32.0,5,0.01_4.97,-124.38_147.0,-2.8_7.0,1.2_7.1,71.5_81.3,26.97_27.89,28.72_29.33
14.0_32.0,6,0.01_4.97,-124.38_147.0,-2.8_7.0,1.2_7.1,81.4_84.1,26.97_27.89,28.72_29.33
14.0_32.0,7,0.01_4.97,-124.38_147.0,-4.1_-2.9,1.2_7.1,71.5_81.3,26.97_27.89,29.34_30.34
14.0_32.0,10,0.01_4.97,-124.38_147.0,-2.8_7.0,1.2_7.1
14.0_32.0,1,0.01_4.97,-124.38_147.0,-5.4_-4.2,1.2_7.1,87.6_99.4,22.72_26.95,27.63_28.71
14.0_32.0,2,0.01_4.97,-124.38_147.0,-4.1_-2.9,1.2_7.1,87.6_99.4,22.72_26.95,22.44_27.62
14.0_32.0,3,0.01_4.97,-124.38_147.0,-2.8_7.0,1.2_7.1,87.6_99.4,22.72_26.95,22.44_27.62
14.0_32.0,4,0.01_4.97,-124.38_147.0,-2.8_7.0,1.2_7.1,87.6_99.4,22.72_26.95,22.44_27.62
14.0_32.0,5,0.01_4.97,-124.38_147.0,-2.8_7.0,1.2_7.1,87.6_99.4,22.72_26.95,22.44_27.62
14.0_32.0,9,0.01_4.97,-124.38_147.0,-8.5_-5.5,-2.4_-0.8
14.0_32.0,1,-2.02_0.0,-124.38_147.0,-4.1_-2.9,1.2_7.1,87.6_99.4,22.72_26.95,22.44_27.62
14.0_32.0,2,-2.02_0.0,-124.38_147.0,-4.1_-2.9,1.2_7.1,87.6_99.4,22.72_26.95,22.44_27.62
14.0_32.0,3,-2.02_0.0,-124.38_147.0,-2.8_7.0,-0.7_1.1,87.6_99.4,22.72_26.95,22.44_27.62
14.0_32.0,4,-2.02_0.0,-124.38_147.0,-2.8_7.0,-0.7_1.1,87.6_99.4,22.72_26.95,22.44_27.62
14.0_32.0,5,-2.02_0.0,-124.38_147.0,-4.1_-2.9,-0.7_1.1,87.6_99.4,22.72_26.95,22.44_27.62
14.0_32.0,6,-2.02_0.0,-124.38_147.0,-4.1_-2.9,-0.7_1.1,87.6_99.4
14.0_32.0,7,-2.02_0.0,-124.38_147.0,-4.1_-2.9,1.2_7.1,87.6_99.4,22.72_26.95,22.44_27.62
14.0_32.0,8,-2.02_0.0,-124.38_147.0,-4.1_-2.9,-0.7_1.1,87.6_99.4,22.72_26.95,22.44_27.62
14.0_32.0,9,-2.02_0.0,-124.38_147.0,-5.4_-4.2,-0.7_1.1,87.6_99.4,22.72_26.95,22.44_27.62
14.0_32.0,10,-2.02_0.0,-124.38_147.0,-4.1_-2.9,-0.7_1.1,87.6_99.4,22.72_26.95,22.44_27.62
14.0_32.0,11,-2.02_0.0,-124.38_147.0,-4.1_-2.9,1.2_7.1,87.6_99.4,22.72_26.95,22.44_27.62
14.0_32.0,12,-2.02_0.0,-124.38_147.0,-4.1_-2.9,1.2_7.1,87.6_99.4,22.72_26.95,22.44_27.62
14.0_32.0,13,-2.02_0.0,-124.38_147.0,-4.1_-2.9,1.2_7.1,87.6_99.4,22.72_26.95,22.44_27.62
14.0_32.0,1,-8.28_-2.03,-124.38_147.0,-8.5_-5.5,1.2_7.1,71.5_81.3,26.97_27.89,27.63_28.71
14.0_32.0,2,-8.28_-2.03,-124.38_147.0,-8.5_-5.5,1.2_7.1,71.5_81.3,26.97_27.89,27.63_28.71
14.0_32.0,3,-8.28_-2.03,-124.38_147.0,-4.1_-2.9,1.2_7.1,71.5_81.3,26.97_27.89,22.44_27.62
14.0_32.0,4,-8.28_-2.03,-124.38_147.0,-2.8_7.0,1.2_7.1,71.5_81.3,22.72_26.95,22.44_27.62
14.0_32.0,5,-8.28_-2.03,-124.38_147.0,-4.1_-2.9,1.2_7.1,81.4_84.1,22.72_26.95,22.44_27.62
14.0_32.0,6,-8.28_-2.03,-124.38_147.0,-5.4_-4.2,1.2_7.1,81.4_84.1,22.72_26.95,22.44_27.62
14.0_32.0,7,-8.28_-2.03,-124.38_147.0,-8.5_-5.5,1.2_7.1,71.5_81.3,26.97_27.89,22.44_27.62
14.0_32.0,1,-8.28_-2.03,-124.38_147.0,-8.5_-5.5,1.2_7.1,71.5_81.3,26.97_27.89,27.63_28.71
14.0_32.0,2,-8.28_-2.03,-124.38_147.0,-8.5_-5.5,1.2_7.1,71.5_81.3,26.97_27.89,27.63_28.71
14.0_32.0,3,-8.28_-2.03,-124.38_147.0,-8.5_-5.5,1.2_7.1,81.4_84.1,22.72_26.95,27.63_28.71
14.0_32.0,4,-8.28_-2.03,-124.38_147.0,-4.1_-2.9,1.2_7.1,71.5_81.3,22.72_26.95,27.63_28.71
14.0_32.0,5,-8.28_-2.03,-124.38_147.0,-5.4_-4.2,1.2_7.1,71.5_81.3,22.72_26.95,27.63_28.71
14.0_32.0,6,-8.28_-2.03,-124.38_147.0,-8.5_-5.5,1.2_7.1,81.4_84.1,22.72_26.95,27.63_28.71
14.0_32.0,7,-8.28_-2.03,-124.38_147.0,-8.5_-5.5,1.2_7.1,71.5_81.3,22.72_26.95,22.44_27.62
14.0_32.0,8,-8.28_-2.03,-124.38_147.0,-8.5_-5.5,1.2_7.1,71.5_81.3,22.72_26.95,22.44_27.62
14.0_32.0,9,-8.28_-2.03,-124.38_147.0,-8.5_-5.5,1.2_7.1,71.5_81.3,22.72_26.95,22.44_27.62
14.0_32.0,10,-8.28_-2.03,-124.38_147.0,-5.4_-4.2,1.2_7.1,71.5_81.3,22.72_26.95,22.44_27.62
14.0_32.0,11,-8.28_-2.03,-124.38_147.0,-4.1_-2.9,1.2_7.1,71.5_81.3,22.72_26.95,22.44_27.62
14.0_32.0,12,-8.28_-2.03,-124.38_147.0,-4.1_-2.9,1.2_7.1,71.5_81.3,22.72_26.95,27.63_28.71
14.0_32.0,13,-8.28_-2.03,-124.38_147.0,-4.1_-2.9,1.2_7.1,71.5_81.3,22.72_26.95,22.44_27.62
14.0_32.0,1,0.01_4.97,147.01_179.8,-8.5_-5.5,-6.4_-2.5,84.2_87.5,27.91_28.44,27.63_28.71
14.0_32.0,2,0.01_4.97,147.01_179.8,-8.5_-5.5,-0.7_1.1,87.6_99.4,26.97_27.89,27.63_28.71
14.0_32.0,3,0.01_4.97,147.01_179.8,-8.5_-5.5,-2.4_-0.8,84.2_87.5,27.91_28.44,27.63_28.71
14.0_32.0,1,0.01_4.97,-179.87_-154.93,-5.4_-4.2,-6.4_-2.5,87.6_99.4,27.91_28.44,27.63_28.71
14.0_32.0,2,0.01_4.97,-179.87_-154.93,-5.4_-4.2,-0.7_1.1,87.6_99.4,27.91_28.44,27.63_28.71
14.0_32.0,3,0.01_4.97,-179.87_-154.93,-5.4_-4.2,-2.4_-0.8,87.6_99.4,27.91_28.44,27.63_28.71
14.0_32.0,4,0.01_4.97,-179.87_-154.93,-5.4_-4.2,-2.4_-0.8,87.6_99.4,27.91_28.44,27.63_28.71
14.0_32.0,5,0.01_4.97,-179.87_-154.93,-5.4_-4.2,-0.7_1.1,87.6_99.4,28.45_30.04,28.72_29.33
14.0_32.0,6,0.01_4.97,-179.87_-154.93,-4.1_-2.9,-6.4_-2.5,84.2_87.5,28.45_30.04,28.72_29.33
14.0_32.0,7,0.01_4.97,-179.87_-154.93,-2.8_7.0,-6.4_-2.5,87.6_99.4,27.91_28.44,28.72_29.33
14.0_32.0,8,0.01_4.97,-179.87_-154.93,-2.8_7.0,-2.4_-0.8,87.6_99.4,27.91_28.44,28.72_29.33
14.0_32.0,9,0.01_4.97,-179.87_-154.93,-5.4_-4.2,-2.4_-0.8,87.6_99.4,28.45_30.04,29.34_30.34
14.0_32.0,10,0.01_4.97,-179.87_-154.93,-5.4_-4.2,-2.4_-0.8,84.2_87.5,28.45_30.04,29.34_30.34
14.0_32.0,11,0.01_4.97,-179.87_-154.93,-5.4_-4.2,-2.4_-0.8,87.6_99.4,26.97_27.89,28.72_29.33
14.0_32.0,12,0.01_4.97,-179.87_-154.93,-4.1_-2.9,-6.4_-2.5,87.6_99.4,27.91_28.44,28.72_29.33
14.0_32.0,13,0.01_4.97,-179.87_-154.93,-5.4_-4.2,-6.4_-2.5,87.6_99.4,27.91_28.44,28.72_29.33
14.0_32.0,14,0.01_4.97,-179.87_-154.93,-8.5_-5.5,-2.4_-0.8,87.6_99.4,27.91_28.44,27.63_28.71
14.0_32.0,1,-2.02_0.0,-179.87_-154.93,-2.8_7.0,-2.4_-0.8,87.6_99.4,26.97_27.89,28.72_29.33
14.0_32.0,2,-2.02_0.0,-179.87_-154.93,-5.4_-4.2,-6.4_-2.5,87.6_99.4,27.91_28.44,28.72_29.33
14.0_32.0,3,-2.02_0.0,-179.87_-154.93,-4.1_-2.9,-6.4_-2.5,84.2_87.5,27.91_28.44,28.72_29.33
14.0_32.0,4,-2.02_0.0,-179.87_-154.93,-4.1_-2.9,-0.7_1.1,84.2_87.5,28.45_30.04,29.34_30.34
14.0_32.0,5,-2.02_0.0,-179.87_-154.93,-2.8_7.0,-2.4_-0.8,84.2_87.5,27.91_28.44,29.34_30.34
14.0_32.0,6,-2.02_0.0,-179.87_-154.93,-2.8_7.0,-2.4_-0.8,87.6_99.4,26.97_27.89,29.34_30.34
14.0_32.0,7,-2.02_0.0,-179.87_-154.93,-4.1_-2.9,-2.4_-0.8,81.4_84.1,28.45_30.04,29.34_30.34
14.0_32.0,8,-2.02_0.0,-179.87_-154.93,-5.4_-4.2,-2.4_-0.8,81.4_84.1,28.45_30.04,29.34_30.34
14.0_32.0,9,-2.02_0.0,-179.87_-154.93,-2.8_7.0,-2.4_-0.8,81.4_84.1,28.45_30.04,29.34_30.34
14.0_32.0,10,-2.02_0.0,-179.87_-154.93,-5.4_-4.2,-2.4_-0.8,81.4_84.1,28.45_30.04,29.34_30.34
14.0_32.0,11,-2.02_0.0,-179.87_-154.93,-2.8_7.0,-2.4_-0.8,81.4_84.1,28.45_30.04,29.34_30.34
14.0_32.0,12,-2.02_0.0,-179.87_-154.93,-4.1_-2.9,-6.4_-2.5,84.2_87.5,26.97_27.89,29.34_30.34
14.0_32.0,13,-2.02_0.0,-179.87_-154.93,-8.5_-5.5,-6.4_-2.5,81.4_84.1,28.45_30.04,29.34_30.34
14.0_32.0,14,-2.02_0.0,-179.87_-154.93,-8.5_-5.5,-6.4_-2.5,81.4_84.1,28.45_30.04,29.34_30.34
14.0_32.0,14,-8.28_-2.03,-179.87_-154.93,-8.5_-5.5,-2.4_-0.8
14.0_32.0,1,4.98_8.97,-179.87_-154.93,-8.5_-5.5,-6.4_-2.5,81.4_84.1,27.91_28.44,27.63_28.71
14.0_32.0,2,4.98_8.97,-179.87_-154.93,-8.5_-5.5,-6.4_-2.5,81.4_84.1,27.91_28.44,27.63_28.71
14.0_32.0,3,4.98_8.97,-179.87_-154.93,-8.5_-5.5,-6.4_-2.5,84.2_87.5,27.91_28.44,27.63_28.71
14.0_32.0,4,4.98_8.97,-179.87_-154.93,-8.5_-5.5,-6.4_-2.5,81.4_84.1,27.91_28.44,27.63_28.71
14.0_32.0,5,4.98_8.97,-179.87_-154.93,-8.5_-5.5,-6.4_-2.5,81.4_84.1,27.91_28.44,27.63_28.71
14.0_32.0,6,4.98_8.97,-179.87_-154.93,-8.5_-5.5,-6.4_-2.5,84.2_87.5,26.97_27.89,27.63_28.71
14.0_32.0,7,4.98_8.97,-179.87_-154.93,-8.5_-5.5,-6.4_-2.5,81.4_84.1,26.97_27.89,27.63_28.71
14.0_32.0,8,4.98_8.97,-179.87_-154.93,-8.5_-5.5,-6.4_-2.5,71.5_81.3,26.97_27.89,27.63_28.71
14.0_32.0,9,4.98_8.97,-179.87_-154.93,-8.5_-5.5,-6.4_-2.5,71.5_81.3,26.97_27.89,27.63_28.71
14.0_32.0,10,4.98_8.97,-179.87_-154.93,-5.4_-4.2,-6.4_-2.5,71.5_81.3,26.97_27.89,27.63_28.71
14.0_32.0,11,4.98_8.97,-179.87_-154.93,-5.4_-4.2,-6.4_-2.5,71.5_81.3,26.97_27.89,27.63_28.71
14.0_32.0,12,4.98_8.97,-179.87_-154.93,-4.1_-2.9,-6.4_-2.5,84.2_87.5,26.97_27.89,27.63_28.71
14.0_32.0,13,4.98_8.97,-179.87_-154.93,-5.4_-4.2,-2.4_-0.8,84.2_87.5,27.91_28.44,27.63_28.71
14.0_32.0,14,4.98_8.97,-179.87_-154.93,-8.5_-5.5,-2.4_-0.8,84.2_87.5,26.97_27.89,27.63_28.71
34.0_49.0,1,0.01_4.97,-179.87_-154.93,-5.4_-4.2,-6.4_-2.5,87.6_99.4,26.97_27.89,27.63_28.71
34.0_49.0,2,0.01_4.97,-179.87_-154.93,-8.5_-5.5,-6.4_-2.5,87.6_99.4,27.91_28.44,27.63_28.71
34.0_49.0,3,0.01_4.97,-179.87_-154.93,-8.5_-5.5,-0.7_1.1,87.6_99.4,27.91_28.44,27.63_28.71
34.0_49.0,4,0.01_4.97,-179.87_-154.93,-5.4_-4.2,-0.7_1.1,87.6_99.4,26.97_27.89,27.63_28.71
34.0_49.0,5,0.01_4.97,-179.87_-154.93,-5.4_-4.2,-0.7_1.1,87.6_99.4,26.97_27.89,27.63_28.71
34.0_49.0,6,0.01_4.97,-179.87_-154.93,-5.4_-4.2,-2.4_-0.8,87.6_99.4,26.97_27.89,27.63_28.71
34.0_49.0,7,0.01_4.97,-179.87_-154.93,-5.4_-4.2,-6.4_-2.5,87.6_99.4,27.91_28.44,27.63_28.71
34.0_49.0,8,0.01_4.97,-179.87_-154.93,-4.1_-2.9,-2.4_-0.8,87.6_99.4,26.97_27.89,27.63_28.71
34.0_49.0,9,0.01_4.97,-179.87_-154.93,-4.1_-2.9,-2.4_-0.8,87.6_99.4,26.97_27.89,27.63_28.71
34.0_49.0,10,0.01_4.97,-179.87_-154.93,-4.1_-2.9,-6.4_-2.5,87.6_99.4,26.97_27.89,27.63_28.71
34.0_49.0,11,0.01_4.97,-179.87_-154.93,-4.1_-2.9,-6.4_-2.5,87.6_99.4,26.97_27.89,27.63_28.71
34.0_49.0,12,0.01_4.97,-179.87_-154.93,-4.1_-2.9,-6.4_-2.5,87.6_99.4,27.91_28.44,27.63_28.71
34.0_49.0,13,0.01_4.97,-179.87_-154.93,-4.1_-2.9,-2.4_-0.8,87.6_99.4,27.91_28.44,27.63_28.71
34.0_49.0,14,0.01_4.97,-179.87_-154.93,-8.5_-5.5,-0.7_1.1,87.6_99.4,27.91_28.44,27.63_28.71
34.0_49.0,1,-2.02_0.0,-179.87_-154.93,-5.4_-4.2,-6.4_-2.5,87.6_99.4,26.97_27.89,27.63_28.71
34.0_49.0,2,-2.02_0.0,-179.87_-154.93,-5.4_-4.2,-6.4_-2.5,87.6_99.4,27.91_28.44,27.63_28.71
34.0_49.0,3,-2.02_0.0,-179.87_-154.93,-5.4_-4.2,-2.4_-0.8,87.6_99.4,27.91_28.44,27.63_28.71
34.0_49.0,4,-2.02_0.0,-179.87_-154.93,-8.5_-5.5,-2.4_-0.8,87.6_99.4,27.91_28.44,27.63_28.71
34.0_49.0,5,-2.02_0.0,-179.87_-154.93,-5.4_-4.2,-0.7_1.1,87.6_99.4,27.91_28.44,27.63_28.71
34.0_49.0,6,-2.02_0.0,-179.87_-154.93,-5.4_-4.2,-2.4_-0.8,87.6_99.4,27.91_28.44,27.63_28.71
34.0_49.0,7,-2.02_0.0,-179.87_-154.93,-5.4_-4.2,-2.4_-0.8,84.2_87.5,27.91_28.44,28.72_29.33
34.0_49.0,8,-2.02_0.0,-179.87_-154.93,-4.1_-2.9,-2.4_-0.8,84.2_87.5,27.91_28.44,28.72_29.33
34.0_49.0,9,-2.02_0.0,-179.87_-154.93,-4.1_-2.9,-0.7_1.1,81.4_84.1,28.45_30.04,28.72_29.33
34.0_49.0,10,-2.02_0.0,-179.87_-154.93,-4.1_-2.9,-6.4_-2.5,84.2_87.5,27.91_28.44,28.72_29.33
34.0_49.0,11,-2.02_0.0,-179.87_-154.93,-4.1_-2.9,-6.4_-2.5,84.2_87.5,27.91_28.44,28.72_29.33
34.0_49.0,12,-2.02_0.0,-179.87_-154.93,-4.1_-2.9,-6.4_-2.5,84.2_87.5,27.91_28.44,27.63_28.71
34.0_49.0,13,-2.02_0.0,-179.87_-154.93,-5.4_-4.2,-6.4_-2.5,84.2_87.5,27.91_28.44,27.63_28.71
34.0_49.0,14,-2.02_0.0,-179.87_-154.93,-8.5_-5.5,-2.4_-0.8,84.2_87.5,27.91_28.44,27.63_28.71
34.0_49.0,1,-8.28_-2.03,-179.87_-154.93,-5.4_-4.2,-2.4_-0.8,84.2_87.5,28.45_30.04,29.34_30.34
34.0_49.0,2,-8.28_-2.03,-179.87_-154.93,-5.4_-4.2,-2.4_-0.8,87.6_99.4,27.91_28.44,29.34_30.34
34.0_49.0,3,-8.28_-2.03,-179.87_-154.93,-4.1_-2.9,-2.4_-0.8,87.6_99.4,28.45_30.04,29.34_30.34
34.0_49.0,4,-8.28_-2.03,-179.87_-154.93,-5.4_-4.2,-6.4_-2.5,87.6_99.4,28.45_30.04,29.34_30.34
34.0_49.0,5,-8.28_-2.03,-179.87_-154.93,-4.1_-2.9,-2.4_-0.8,87.6_99.4,28.45_30.04,29.34_30.34
34.0_49.0,6,-8.28_-2.03,-179.87_-154.93,-5.4_-4.2,-2.4_-0.8,87.6_99.4,28.45_30.04,29.34_30.34
34.0_49.0,7,-8.28_-2.03,-179.87_-154.93,-4.1_-2.9,-6.4_-2.5,84.2_87.5,28.45_30.04,29.34_30.34
34.0_49.0,8,-8.28_-2.03,-179.87_-154.93,-2.8_7.0,-2.4_-0.8,87.6_99.4,27.91_28.44,29.34_30.34
34.0_49.0,9,-8.28_-2.03,-179.87_-154.93,-2.8_7.0,-0.7_1.1,84.2_87.5,28.45_30.04,29.34_30.34
34.0_49.0,10,-8.28_-2.03,-179.87_-154.93,-2.8_7.0,-0.7_1.1,84.2_87.5,28.45_30.04,29.34_30.34
34.0_49.0,11,-8.28_-2.03,-179.87_-154.93,-4.1_-2.9,-2.4_-0.8,87.6_99.4,27.91_28.44,29.34_30.34
34.0_49.0,12,-8.28_-2.03,-179.87_-154.93,-5.4_-4.2,-6.4_-2.5,87.6_99.4,26.97_27.89,29.34_30.34
34.0_49.0,13,-8.28_-2.03,-179.87_-154.93,-4.1_-2.9,-6.4_-2.5,84.2_87.5,28.45_30.04,29.34_30.34
34.0_49.0,14,-8.28_-2.03,-179.87_-154.93,-8.5_-5.5,-2.4_-0.8,81.4_84.1,28.45_30.04,29.34_30.34
34.0_49.0,3,-8.28_-2.03,-179.87_-154.93,-8.5_-5.5,1.2_7.1,81.4_84.1,27.91_28.44,29.34_30.34
34.0_49.0,5,-8.28_-2.03,-179.87_-154.93,-2.8_7.0,-0.7_1.1
34.0_49.0,6,-8.28_-2.03,-179.87_-154.93,-8.5_-5.5,-0.7_1.1,81.4_84.1,28.45_30.04,29.34_30.34
34.0_49.0,7,-8.28_-2.03,-179.87_-154.93,-2.8_7.0,-0.7_1.1
34.0_49.0,8,-8.28_-2.03,-179.87_-154.93,-4.1_-2.9,-0.7_1.1,81.4_84.1,27.91_28.44,29.34_30.34
34.0_49.0,9,-8.28_-2.03,-179.87_-154.93,-4.1_-2.9,-0.7_1.1,71.5_81.3
34.0_49.0,10,-8.28_-2.03,-179.87_-154.93,-2.8_7.0,-0.7_1.1,71.5_81.3,28.45_30.04,29.34_30.34
34.0_49.0,11,-8.28_-2.03,-179.87_-154.93,-2.8_7.0,-0.7_1.1
34.0_49.0,12,-8.28_-2.03,-179.87_-154.93,-2.8_7.0,-0.7_1.1
34.0_49.0,1,4.98_8.97,-179.87_-154.93,-8.5_-5.5,-2.4_-0.8,87.6_99.4,22.72_26.95,27.63_28.71
34.0_49.0,2,0.01_4.97,-179.87_-154.93,-8.5_-5.5,-2.4_-0.8,87.6_99.4,22.72_26.95,27.63_28.71
34.0_49.0,3,4.98_8.97,-179.87_-154.93,-8.5_-5.5,-6.4_-2.5,87.6_99.4,26.97_27.89,27.63_28.71
34.0_49.0,4,4.98_8.97,-179.87_-154.93,-8.5_-5.5,-6.4_-2.5,87.6_99.4,26.97_27.89,27.63_28.71
34.0_49.0,5,4.98_8.97,-179.87_-154.93,-8.5_-5.5,-2.4_-0.8,87.6_99.4,26.97_27.89,27.63_28.71
34.0_49.0,6,4.98_8.97,-179.87_-154.93,-8.5_-5.5,-2.4_-0.8,87.6_99.4,22.72_26.95,27.63_28.71
34.0_49.0,7,4.98_8.97,-179.87_-154.93,-4.1_-2.9,-6.4_-2.5,84.2_87.5,26.97_27.89,27.63_28.71
34.0_49.0,8,4.98_8.97,-179.87_-154.93,-4.1_-2.9,-2.4_-0.8,84.2_87.5,26.97_27.89,27.63_28.71
34.0_49.0,9,4.98_8.97,-179.87_-154.93,-2.8_7.0,-0.7_1.1,81.4_84.1,27.91_28.44,28.72_29.33
34.0_49.0,10,4.98_8.97,-179.87_-154.93,-2.8_7.0,-0.7_1.1,84.2_87.5,26.97_27.89,28.72_29.33
34.0_49.0,11,4.98_8.97,-179.87_-154.93,-5.4_-4.2,-0.7_1.1,84.2_87.5,26.97_27.89,28.72_29.33
