@ATTRIBUTE "landmass" { 1,2,3,4,5,6 }
@ATTRIBUTE "zone" { 1,2,3,4 }
@ATTRIBUTE "area" { 0.0_6.0,111.0_450.0,463.0_9561.0,9.0_109.0,9976.0_22402.0 }
@ATTRIBUTE "population" { 0.0_0.0,1.0_5.0,20.0_1008.0,6.0_18.0 }
@ATTRIBUTE "language" { 1,10,2,3,4,5,6,7,8,9 }
@ATTRIBUTE "religion" { 0,1,2,3,4,5,6,7 }
@ATTRIBUTE "bars" { 0,1,2,3,5 }
@ATTRIBUTE "stripes" { 0,1,11,13,14,2,3,4,5,6,7,9 }
@ATTRIBUTE "colors" { 1,2,3,4,5,6,7,8 }
@ATTRIBUTE "red" { 0,1 }
@ATTRIBUTE "green" { 0,1 }
@ATTRIBUTE "blue" { 0,1 }
@ATTRIBUTE "gold" { 0,1 }
@ATTRIBUTE "white" { 0,1 }
@ATTRIBUTE "black" { 0,1 }
@ATTRIBUTE "orange" { 0,1 }
@ATTRIBUTE "mainhue" { black,blue,brown,gold,green,orange,red,white }
@ATTRIBUTE "circles" { 0,1,2,4 }
@ATTRIBUTE "crosses" { 0,1,2 }
@ATTRIBUTE "saltires" { 0,1 }
@ATTRIBUTE "quarters" { 0,1,4 }
@ATTRIBUTE "sunstars" { 0,1,10,14,15,2,22,3,4,5,50,6,7,9 }
@ATTRIBUTE "crescent" { 0,1 }
@ATTRIBUTE "triangle" { 0,1 }
@ATTRIBUTE "icon" { 0,1 }
@ATTRIBUTE "animate" { 0,1 }
@ATTRIBUTE "text" { 0,1 }
@ATTRIBUTE "topleft" { black,blue,gold,green,orange,red,white }
@ATTRIBUTE "botright" { black,blue,brown,gold,green,orange,red,white }
@DATA
4,1,9.0_109.0,1.0_5.0,3,7,0,5,4,1,1,0,1,1,0,0,green,0,0,0,1,1,0,0,0,0,0,red,green
6,2,0.0_6.0,0.0_0.0,10,1,0,0,2,1,0,0,0,1,0,0,red,0,1,0,1,0,0,0,0,0,0,white,red
2,4,0.0_6.0,1.0_5.0,1,1,0,0,3,1,0,0,0,1,1,0,red,0,0,0,0,0,0,1,0,0,0,white,white
4,1,111.0_450.0,6.0_18.0,8,2,0,0,2,1,0,0,0,1,0,0,red,1,0,0,0,1,1,0,0,0,0,red,red
5,1,463.0_9561.0,20.0_1008.0,9,2,0,0,2,1,0,0,0,1,0,0,red,0,0,0,0,1,1,0,0,0,0,red,red
1,4,0.0_6.0,0.0_0.0,1,1,0,0,6,1,1,1,1,1,0,1,blue,0,1,1,1,0,0,0,1,1,0,white,blue
6,2,0.0_6.0,0.0_0.0,1,1,0,0,5,1,0,1,1,1,0,0,blue,0,1,1,1,9,0,0,0,0,0,white,blue
5,1,9.0_109.0,1.0_5.0,8,2,1,3,4,1,1,0,0,1,1,0,green,0,0,0,0,0,0,0,0,0,0,red,black
4,1,111.0_450.0,6.0_18.0,10,5,0,6,5,1,0,0,1,1,1,0,gold,1,0,0,0,0,0,0,0,1,0,black,red
3,4,111.0_450.0,20.0_1008.0,1,1,0,0,3,1,0,1,0,1,0,0,red,0,1,1,0,0,0,0,0,0,0,white,red
2,3,111.0_450.0,1.0_5.0,2,0,0,9,3,0,0,1,1,1,0,0,white,0,0,0,1,1,0,0,0,0,0,white,white
1,4,0.0_6.0,0.0_0.0,1,1,0,0,6,1,1,1,1,1,0,0,white,0,0,0,0,0,0,0,1,1,1,white,white
1,4,463.0_9561.0,20.0_1008.0,1,1,0,13,3,1,0,1,0,1,0,0,white,0,0,0,1,50,0,0,0,0,0,blue,red
5,1,9976.0_22402.0,20.0_1008.0,5,6,0,0,2,1,0,0,1,0,0,0,red,0,0,0,0,1,0,0,1,0,0,red,red
6,2,9.0_109.0,0.0_0.0,6,1,0,0,4,1,1,0,1,0,1,0,red,0,0,0,0,0,0,1,0,1,0,black,green
3,1,0.0_6.0,0.0_0.0,6,0,2,0,4,1,0,0,1,1,1,0,gold,0,0,0,0,0,0,0,1,0,0,gold,white
2,4,463.0_9561.0,6.0_18.0,2,0,0,3,7,1,1,1,1,1,1,1,red,0,0,0,0,7,0,0,1,1,0,gold,red
5,1,111.0_450.0,20.0_1008.0,10,6,0,0,2,1,0,0,1,0,0,0,red,0,0,0,0,1,0,0,0,0,0,red,red
6,3,0.0_6.0,0.0_0.0,1,1,0,0,3,1,0,1,0,1,0,0,red,0,0,0,1,5,0,0,0,0,0,blue,red
3,1,111.0_450.0,20.0_1008.0,6,6,0,3,4,1,0,1,1,1,0,0,red,0,0,0,0,1,0,0,0,0,0,blue,red
4,2,463.0_9561.0,20.0_1008.0,10,5,0,0,4,1,1,0,1,0,0,1,green,1,0,0,0,0,0,0,1,1,0,green,green
4,2,463.0_9561.0,6.0_18.0,10,5,3,0,4,1,1,0,0,0,1,1,green,0,0,0,0,0,0,0,0,1,0,green,brown
4,2,111.0_450.0,6.0_18.0,10,5,0,7,5,1,1,0,1,1,1,0,green,0,0,0,0,1,0,1,1,1,0,green,green
